Feature,folds,selection_rate,n_folds,as_published_rate
p50_0_Zero crossing rate,55,1.0,55,0.561038961038961
p75_0_Zero crossing rate,55,1.0,55,0.7766233766233767
p25_0_Zero crossing rate,55,1.0,55,0.8181818181818182
mean_0_Zero crossing rate,55,1.0,55,0.5896103896103896
circ_bout_count_mean,55,1.0,55,0.561038961038961
min_0_Zero crossing rate,52,0.9454545454545454,55,0.5298701298701298
p25_0_Spectrogram mean coefficient_16.13Hz,44,0.8,55,0.11428571428571428
min_0_Spectral spread,43,0.7818181818181819,55,0.33246753246753247
std_0_Spectrogram mean coefficient_17.74Hz,30,0.5454545454545454,55,0.14805194805194805
std_0_Wavelet absolute mean_5.0Hz,25,0.45454545454545453,55,0.1012987012987013
min_0_Spectrogram mean coefficient_48.39Hz,24,0.43636363636363634,55,0.14025974025974025
p50_0_Spectrogram mean coefficient_32.26Hz,23,0.41818181818181815,55,0.06233766233766234
max_0_LPCC_8,21,0.38181818181818183,55,0.10909090909090909
min_0_Spectrogram mean coefficient_8.06Hz,18,0.32727272727272727,55,0.09090909090909091
